from_id,to_id
4016,40002
4022,40003
4023,40004
4024,40004
4025,40004
4026,40004
4027,40008
4028,40009
4029,40010
4030,40011
4031,40006
4032,40006
4033,40006
4034,40006
4035,40006
4036,40007
4037,40007
4038,40008
4039,40008
4040,40008
4041,40008
4042,40008
4043,40008
4044,40009
4045,40010
4047,40011
4053,40012
4054,40013
4059,40014
4065,40015
4066,40016
4067,40016
4068,40017
4069,40018
4071,40019
4076,40020
4082,40021
4083,40022
4084,40022
4085,40022
4086,40022
4087,40022
