ctrlid,label,content
1001,1.1,"'Title: 1.1; Descr: Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.; Context: Inventory and Control of Enterprise Assets - Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.Tags: Devices, Inventory and Control of Enterprise Assets'"
1002,1.2,"'Title: 1.2; Descr: Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.; Context: Inventory and Control of Enterprise Assets - Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.Tags: Devices, Inventory and Control of Enterprise Assets'"
1003,1.3,"'Title: 1.3; Descr: Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently.; Context: Inventory and Control of Enterprise Assets - Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.Tags: Devices, Inventory and Control of Enterprise Assets'"
1004,1.4,"'Title: 1.4; Descr: Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently.; Context: Inventory and Control of Enterprise Assets - Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.Tags: Devices, Inventory and Control of Enterprise Assets'"
1005,1.5,"'Title: 1.5; Descr: Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.; Context: Inventory and Control of Enterprise Assets - Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.Tags: Devices, Inventory and Control of Enterprise Assets'"
1006,10.1,"'Title: 10.1; Descr: Deploy and maintain anti-malware software on all enterprise assets.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1007,10.2,"'Title: 10.2; Descr: Configure automatic updates for anti-malware signature files on all enterprise assets.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1008,10.3,"'Title: 10.3; Descr: Disable autorun and autoplay auto-execute functionality for removable media.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1009,10.4,"'Title: 10.4; Descr: Configure anti-malware software to automatically scan removable media.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1010,10.5,"'Title: 10.5; Descr: Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
