chunk_id,label,chunk,chunk_n
40002,164.308(a)(1),text,1
40003,164.308(a)(2),text,1
40004,164.308(a)(3),text,1
40005,164.308(a)(4),text,1
40006,164.308(a)(5),text,1
40007,164.308(a)(6),text,1
40008,164.308(a)(7),text,1
40009,164.308(a)(8),text,1
40010,164.308(b)(1),text,1
40011,164.310(a),text,1
40012,164.310(b),text,1
40013,164.310(c),text,1
40014,164.312(a),text,1
40015,164.312(b),text,1
40016,164.312(c),text,1
40017,164.312(d),text,1
40018,164.312(e)(1),text,1
40019,164.314(a),text,1
40020,164.314(b),text,1
40021,164.316(a),text,1
40022,164.316(b),text,1
